id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,pval_adj,sig,cat
1008,7,Coronary heart disease || id:7,Platelet count ,Inverse variance weighted,31,5.02E-05,0.000652695,0.938723783,0.952528545,FALSE,Diagnosis
1055,7,Coronary heart disease || id:7,Urate ,Inverse variance weighted,24,0.078320854,0.041976274,0.062064276,0.09732807,FALSE,Heterocyclic Compounds
1106,7,Coronary heart disease || id:7,Serum cystatin C (eGFRcys) ,Inverse variance weighted,5,-0.421172485,0.434914962,0.33284368,0.438376727,FALSE,"Amino Acids, Peptides, and Proteins"
1112,7,Coronary heart disease || id:7,Primary sclerosing cholangitis  ,Inverse variance weighted,14,-0.021039407,0.014676206,0.151694264,0.209338085,FALSE,Digestive System Diseases
270,7,Coronary heart disease || id:7,Haemoglobin concentration ,Inverse variance weighted,14,-0.155240666,0.079846956,0.051867996,0.085211708,FALSE,"Amino Acids, Peptides, and Proteins"
274,7,Coronary heart disease || id:7,Packed cell volume ,Inverse variance weighted,11,-0.078365546,0.054528058,0.150672526,0.209338085,FALSE,Circulatory and Respiratory Physiological Phenomena
275,7,Coronary heart disease || id:7,Red blood cell count ,Inverse variance weighted,23,-0.036568006,0.215921648,0.865515247,0.891351523,FALSE,Circulatory and Respiratory Physiological Phenomena
276,7,Coronary heart disease || id:7,Celiac disease ,Inverse variance weighted,12,0.030653229,0.031908576,0.336724152,0.438376727,FALSE,Digestive System Diseases
299,7,Coronary heart disease || id:7,HDL cholesterol ,Inverse variance weighted,86,-0.17151439,0.059440024,0.003907883,0.008426372,TRUE,Lipids
300,7,Coronary heart disease || id:7,LDL cholesterol ,Inverse variance weighted,77,0.402513051,0.049976081,8.01E-16,5.52E-15,TRUE,Lipids
301,7,Coronary heart disease || id:7,Total cholesterol ,Inverse variance weighted,85,0.389341391,0.051747776,5.32E-14,2.62E-13,TRUE,Lipids
798,7,Coronary heart disease || id:7,Myocardial infarction ,Inverse variance weighted,24,1.00015944,0.024343181,0,0,TRUE,Cardiovascular Diseases
UKB-a:131,7,Coronary heart disease || id:7,Treatment/medication code: atenolol ,Inverse variance weighted,6,7.76947411,3.380965004,0.021561511,0.041326229,TRUE,Organic Chemicals
UKB-a:136,7,Coronary heart disease || id:7,Treatment/medication code: ibuprofen ,Wald ratio,1,-7.789677759,1.811549465,1.71E-05,4.91E-05,TRUE,Organic Chemicals
UKB-a:158,7,Coronary heart disease || id:7,Treatment/medication code: thyroxine product ,Inverse variance weighted,9,6.037636441,3.044761491,0.047372037,0.079723673,FALSE,"Amino Acids, Peptides, and Proteins"
UKB-a:17,7,Coronary heart disease || id:7,Past tobacco smoking ,Inverse variance weighted,41,-0.264512671,0.120270395,0.027855422,0.050390518,FALSE,Behavior and Behavior Mechanisms
UKB-a:190,7,Coronary heart disease || id:7,Treatment/medication code: levothyroxine sodium ,Inverse variance weighted,50,0.749504193,0.437521101,0.086699696,0.130049543,FALSE,"Amino Acids, Peptides, and Proteins"
UKB-a:198,7,Coronary heart disease || id:7,Birth weight ,Inverse variance weighted,82,-0.338213181,0.062881307,7.51E-08,2.74E-07,TRUE,Physiological Phenomena
UKB-a:199,7,Coronary heart disease || id:7,Mean time to correctly identify matches ,Inverse variance weighted,29,-0.002596874,0.175619851,0.988202189,0.988202189,FALSE,Psychological Phenomena
UKB-a:201,7,Coronary heart disease || id:7,Illnesses of father: Heart disease ,Inverse variance weighted,17,8.323035297,0.518859784,6.61E-58,2.28E-56,TRUE,Diagnosis
UKB-a:218,7,Coronary heart disease || id:7,Illnesses of siblings: None of the above (group 1) ,Inverse variance weighted,8,-4.700185373,2.193699528,0.032146522,0.055452751,FALSE,Diagnosis
UKB-a:22,7,Coronary heart disease || id:7,Number of self-reported non-cancer illnesses ,Inverse variance weighted,20,1.133799395,0.31323487,0.000295006,0.000678514,TRUE,"Health Care Quality, Access, and Evaluation"
UKB-a:222,7,Coronary heart disease || id:7,Illnesses of siblings: High blood pressure ,Inverse variance weighted,11,3.301205511,0.863660514,0.00013219,0.000325755,TRUE,Diagnosis
UKB-a:224,7,Coronary heart disease || id:7,Smoking status: Previous ,Inverse variance weighted,18,0.786041339,0.524591481,0.134032592,0.192671851,FALSE,Behavior and Behavior Mechanisms
UKB-a:24,7,Coronary heart disease || id:7,Number of treatments/medications taken ,Inverse variance weighted,21,2.137744573,0.485362563,1.06E-05,3.33E-05,TRUE,Therapeutics
UKB-a:249,7,Coronary heart disease || id:7,Weight ,Inverse variance weighted,334,0.215930852,0.045975399,2.64E-06,8.69E-06,TRUE,"Pathological Conditions, Signs and Symptoms"
UKB-a:266,7,Coronary heart disease || id:7,Whole body fat-free mass ,Inverse variance weighted,399,-0.074355938,0.054230426,0.170340332,0.230460449,FALSE,Physiological Phenomena
UKB-a:267,7,Coronary heart disease || id:7,Whole body water mass ,Inverse variance weighted,398,-0.087609897,0.054596914,0.108566986,0.159385575,FALSE,Physiological Phenomena
UKB-a:268,7,Coronary heart disease || id:7,Basal metabolic rate ,Inverse variance weighted,372,-0.013110813,0.055961333,0.814764945,0.877764024,FALSE,Metabolism
UKB-a:269,7,Coronary heart disease || id:7,Impedance of whole body ,Inverse variance weighted,347,-0.193274885,0.05134912,0.000167259,0.00039796,TRUE,Physiological Phenomena
UKB-a:270,7,Coronary heart disease || id:7,Impedance of leg (right) ,Inverse variance weighted,311,-0.091597245,0.048299421,0.057901089,0.09291105,FALSE,Physiological Phenomena
