id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,pval_adj,sig,cat
1008,7,Coronary heart disease || id:7,Platelet count ,Inverse variance weighted,32,0.000676083,0.00083654,0.418980869,0.532454854,FALSE,Diagnosis
1105,7,Coronary heart disease || id:7,Serum creatinine (eGFRcrea) ,Inverse variance weighted,42,0.312155897,0.347922049,0.369611845,0.490137447,FALSE,"Amino Acids, Peptides, and Proteins"
1106,7,Coronary heart disease || id:7,Serum cystatin C (eGFRcys) ,Inverse variance weighted,4,-0.280488662,0.145679941,0.054182336,0.082628063,FALSE,"Amino Acids, Peptides, and Proteins"
270,7,Coronary heart disease || id:7,Haemoglobin concentration ,Inverse variance weighted,15,-0.053569101,0.122583022,0.662109453,0.734339575,FALSE,"Amino Acids, Peptides, and Proteins"
274,7,Coronary heart disease || id:7,Packed cell volume ,Inverse variance weighted,12,-0.032818543,0.066583819,0.622089838,0.702731113,FALSE,Circulatory and Respiratory Physiological Phenomena
275,7,Coronary heart disease || id:7,Red blood cell count ,Inverse variance weighted,24,0.089456886,0.254373193,0.725081442,0.769518144,FALSE,Circulatory and Respiratory Physiological Phenomena
276,7,Coronary heart disease || id:7,Celiac disease ,Inverse variance weighted,11,0.007159741,0.020879911,0.73167299,0.769518144,FALSE,Digestive System Diseases
299,7,Coronary heart disease || id:7,HDL cholesterol ,Inverse variance weighted,86,-0.17151439,0.059440024,0.003907883,0.007946028,TRUE,Lipids
300,7,Coronary heart disease || id:7,LDL cholesterol ,Inverse variance weighted,78,0.393168718,0.052871525,1.04E-13,5.74E-13,TRUE,Lipids
301,7,Coronary heart disease || id:7,Total cholesterol ,Inverse variance weighted,86,0.377642783,0.054436591,4.00E-12,1.88E-11,TRUE,Lipids
798,7,Coronary heart disease || id:7,Myocardial infarction ,Inverse variance weighted,24,1.005806278,0.02346393,0,0,TRUE,Cardiovascular Diseases
